id,observed_on,latitude,longitude,place_state_name,place_country_name
1511555,2015-05-19,39.227363,-76.747712,Maryland,United States
1511927,2015-05-19,39.228933,-76.743858,Maryland,United States
1542769,2015-05-25,36.01291822,-78.97144061,North Carolina,United States
1560979,2015-05-15,36.2015317833,-78.8877199167,North Carolina,United States
1562061,2015-05-29,40.3114366667,-79.841255,Pennsylvania,United States
1648457,2015-06-19,35.687214,-83.500177,Tennessee,United States
1651752,2015-06-11,41.4048533333,-76.79052,Pennsylvania,United States
1672554,2015-06-20,35.14694772,-84.18023401,North Carolina,United States
1676063,2015-06-23,35.810242,-78.714958,North Carolina,United States
1685766,2015-06-24,34.78129566,-87.65547087,Alabama,United States
1685841,2015-06-24,34.781281,-87.654903,Alabama,United States
1686128,2015-06-24,34.781342,-87.653269,Alabama,United States
1686584,2015-06-24,34.781099,-87.654816,Alabama,United States
1686797,2015-06-24,34.78126945,-87.6553888,Alabama,United States
1690816,2015-06-22,40.3113033333,-79.8441916667,Pennsylvania,United States
1692143,2015-06-25,41.210995,-77.5088416667,Pennsylvania,United States
1692144,2015-06-25,41.1846616667,-77.5114133333,Pennsylvania,United States
1692194,2015-06-25,41.0594221667,-78.5724416667,Pennsylvania,United States
1695947,2015-06-26,39.81995,-78.4816316667,Pennsylvania,United States
1707750,2015-06-24,34.78058437,-87.65572844,Alabama,United States
1714157,2015-06-24,34.780995,-87.655634,Alabama,United States
1719269,2015-07-02,41.3842366667,-79.1104278333,Pennsylvania,United States
1751528,2015-07-12,39.6392783333,-79.815505,West Virginia,United States
1767363,2015-07-15,39.8363833333,-79.5627533333,Pennsylvania,United States
1775667,2015-06-29,39.757845,-78.6907916667,Pennsylvania,United States
1781429,2015-07-19,41.101445,-81.441779,Ohio,United States
1788281,2015-07-21,39.81612,-78.4036466667,Pennsylvania,United States
1796558,2015-07-24,40.0560028333,-78.616425,Pennsylvania,United States
1814388,2015-07-28,40.3773216667,-78.1424555,Pennsylvania,United States
1829677,2015-07-30,33.5370630556,-83.9419463889,Georgia,United States
1853426,2015-08-11,42.010147,-80.36161,Pennsylvania,United States
1857347,2015-08-12,40.6492166667,-77.8162383333,Pennsylvania,United States
1868979,2015-08-16,40.0362583333,-77.3271166667,Pennsylvania,United States
1874384,2015-07-27,37.559384,-77.542596,Virginia,United States
1878886,2015-08-21,35.580006,-79.12346,North Carolina,United States
1881034,2015-08-19,38.813405,-83.516582,Ohio,United States
1881974,2015-08-22,35.93796116,-83.92673498,Tennessee,United States
1883407,2015-08-22,35.93987368,-83.92215817,Tennessee,United States
1885690,2015-08-22,39.002586,-77.067692,Maryland,United States
1893364,2015-08-22,35.938414,-83.925612,Tennessee,United States
1909766,2015-09-01,37.1788033333,-86.1086666667,Kentucky,United States
1917799,2015-09-02,41.975665,-80.2473633333,Pennsylvania,United States
1922355,2015-09-06,40.50054,-80.409731,Pennsylvania,United States
1952558,2015-09-16,35.034528,-85.334858,Tennessee,United States
1968530,2015-09-20,37.544313,-84.897366,Kentucky,United States
2009997,2015-09-28,41.062832,-81.351539,Ohio,United States
2013529,2015-09-29,40.5172691111,-74.4386978056,New Jersey,United States
2163637,2015-10-17,36.02979257,-79.05086537,North Carolina,United States
2210837,2015-10-19,40.48394358,-74.43600713,New Jersey,United States
2283522,2015-10-22,35.999932,-78.926213,North Carolina,United States
2283528,2015-10-22,35.999816,-78.926402,North Carolina,United States
2283544,2015-10-22,35.999203,-78.926301,North Carolina,United States
2283551,2015-10-22,35.998757,-78.926755,North Carolina,United States
2283565,2015-10-22,35.998548,-78.926817,North Carolina,United States
2283597,2015-10-22,35.9978466667,-78.9266,North Carolina,United States
2309872,2015-10-25,39.183488,-76.843519,Maryland,United States
2348805,2015-11-04,35.993809,-78.945824,North Carolina,United States
2348884,2015-11-04,35.988092,-78.942311,North Carolina,United States
2359238,2015-09-27,38.072495,-83.394429,Kentucky,United States
2383916,2015-11-15,40.4816341,-74.4391654,New Jersey,United States
2443185,2015-10-17,39.48248,-82.323042,Ohio,United States
2824921,2016-03-24,40.6067074277,-80.1544727851,Pennsylvania,United States
2824988,2016-03-24,40.6074120943,-80.1547356416,Pennsylvania,United States
2825087,2016-03-24,40.6065089442,-80.1553540584,Pennsylvania,United States
2825210,2016-03-24,40.607105149,-80.154164834,Pennsylvania,United States
2825272,2016-03-24,40.6066873949,-80.1529895236,Pennsylvania,United States
2933641,2016-04-14,40.6043853052,-80.1499505807,Pennsylvania,United States
2933730,2016-04-14,40.6054096995,-80.1484819875,Pennsylvania,United States
2939276,2016-04-15,39.9612523942,-75.106233554,New Jersey,United States
3013423,2016-04-23,35.9221971128,-78.981330637,North Carolina,United States
3020946,2016-04-24,36.0167283781,-79.0052462198,North Carolina,United States
3076722,2016-04-28,37.544041,-84.90082,Kentucky,United States
3187295,2016-05-16,39.2267881,-76.7452666,Maryland,United States
3187474,2016-05-16,39.2337852,-76.7171636,Maryland,United States
3194568,2016-05-16,40.4427481816,-79.9013233837,Pennsylvania,United States
3221436,2016-05-19,39.7605845,-78.3651115,Pennsylvania,United States
3226552,2016-05-20,38.7770155818,-77.0502678026,Virginia,United States
3234544,2016-05-20,40.2048,-75.7737,Pennsylvania,United States
3241542,2016-05-21,33.7823874224,-80.6353365351,South Carolina,United States
3248717,2016-05-21,39.3315148121,-77.7535922081,West Virginia,United States
3248731,2016-05-21,39.7156987,-75.7694642,Delaware,United States
3255431,2016-05-21,39.051961368,-77.2864362226,Maryland,United States
3257736,2016-05-21,38.9139722222,-76.9424888889,District of Columbia,United States
3262863,2016-05-21,38.9371525543,-77.2622554377,Virginia,United States
3262987,2016-05-20,38.91443,-76.9415183333,District of Columbia,United States
3271392,2016-05-22,39.8533417611,-75.6519516092,Pennsylvania,United States
3287439,2016-05-21,33.8156472333,-80.8289359511,South Carolina,United States
3313329,2016-05-26,40.59426061,-80.17388467,Pennsylvania,United States
3314638,2016-05-27,39.421096,-76.98739747,Maryland,United States
3320016,2016-05-26,41.274646,-81.552887,Ohio,United States
3347144,2016-05-13,35.671555,-83.5640083333,Tennessee,United States
3348155,2016-05-17,40.602276,-74.561124,New Jersey,United States
