observed_on,latitude,longitude,place_state_name
2021-09-17,40.9702677903,-75.1743560339,Pennsylvania
2021-09-18,42.4366748878,-72.5224579917,Massachusetts
2021-09-14,39.2166509542,-94.4497756785,Missouri
2021-09-19,39.24585353,-77.19705904,Maryland
2021-09-22,40.37157999,-75.2905724,Pennsylvania
2021-09-25,40.0409418129,-75.2639189178,Pennsylvania
2021-09-15,40.2128033333,-75.31755,Pennsylvania
2021-10-01,42.0266945,-74.26677,New York
2021-10-01,36.0283433553,-78.9024540783,North Carolina
2021-10-04,34.525325289,-93.0373028946,Arkansas
2021-10-08,36.98649615,-88.22260413,Kentucky
2021-10-10,35.96148333,-83.866045,Tennessee
2021-10-07,39.32214216,-82.11446994,Ohio
2021-10-09,40.6684160046,-79.9598506093,Pennsylvania
2021-10-11,39.07915,-77.0765528333,Maryland
2021-10-14,39.06100389,-77.24737416,Maryland
2021-10-26,38.9735870361,-76.8222808838,Maryland
2021-10-28,36.72316296,-76.01907164,Virginia
2021-11-04,34.7719321959,-85.004298119,Georgia
2010-09-18,39.0440527911,-76.749332472,Maryland
2010-09-18,39.0750867369,-76.7931113298,Maryland
2021-09-24,40.715395,-74.4882133333,New Jersey
2021-10-09,42.658874,-72.498308,Massachusetts
2021-10-09,42.650308,-72.598425,Massachusetts
2021-08-21,42.541017,-72.683283,Massachusetts
2022-08-25,42.0690907708,-75.953627349,New York
2022-09-08,40.9748663418,-73.8658271113,New Jersey
2022-09-09,40.4751366667,-74.4384383333,New Jersey
2022-08-30,39.0589383294,-79.3808901887,West Virginia
2022-09-10,37.2656325681,-80.4637927705,Virginia
2022-09-10,37.2661930607,-80.4640275086,Virginia
2022-09-10,41.5087083333,-79.6806944444,Pennsylvania
2022-09-12,40.0946568577,-75.1899653844,Pennsylvania
2022-09-15,41.3251037598,-72.9091262817,Connecticut
2022-09-15,41.3250732422,-72.9095916748,Connecticut
2022-09-15,40.2539672852,-75.3545837402,Pennsylvania
2022-09-16,39.04459428,-77.15510514,Maryland
2022-09-16,40.970795,-75.172095,Pennsylvania
2022-09-16,41.3250427246,-72.9097900391,Connecticut
2022-09-16,40.6266496517,-79.1672531516,Pennsylvania
2022-09-16,41.198975,-74.644255,New Jersey
2022-09-17,40.59993311,-79.81160239,Pennsylvania
2022-09-17,40.4241450078,-80.0212387453,Pennsylvania
2022-09-19,38.9098561537,-77.2625496033,Virginia
2022-09-20,40.1627077658,-75.1963098811,Pennsylvania
2022-09-20,39.8722031387,-75.3708574456,Pennsylvania
2022-09-21,38.7790537209,-77.0505416334,Virginia
2022-09-22,39.34811197,-82.03503397,Ohio
2022-09-22,39.3485665619,-82.0366222966,Ohio
2022-09-22,39.34843,-82.0367055,Ohio
2022-09-22,39.3485995789,-82.0366213765,Ohio
2022-09-22,39.3486295687,-82.0365915076,Ohio
2022-09-22,39.34843,-82.0367055,Ohio
2022-09-22,39.348649314,-82.0365991591,Ohio
2022-09-22,39.3485784729,-82.0365554517,Ohio
2022-09-22,39.3355444,-82.01647661,Ohio
2022-09-22,39.3486386631,-82.0366361831,Ohio
2022-09-22,39.3485966667,-82.0366361667,Ohio
2022-09-22,40.9165141569,-79.06776499,Pennsylvania
2022-09-22,43.4669505631,-80.5359630345,
2022-09-21,40.3192638889,-75.9075694444,Pennsylvania
2022-09-22,40.408661091,-75.9486250485,Pennsylvania
2022-09-23,42.8881530762,-78.7202529907,New York
2022-09-21,39.9460927584,-75.4282589816,Pennsylvania
2022-09-23,41.0543861111,-75.7490916667,Pennsylvania
2022-09-23,41.0354722222,-77.0621555556,Pennsylvania
2022-09-23,38.6063492352,-77.2796773922,Virginia
2022-09-24,39.2058983333,-76.91332,Maryland
2022-09-24,32.9252265953,-88.3193461039,Alabama
2022-09-26,34.10537062,-84.69424666,Georgia
2022-09-27,40.1732722222,-79.2156916667,Pennsylvania
2022-09-27,38.0140504076,-84.4715917144,Kentucky
2022-09-20,40.5840280487,-74.5991590109,New Jersey
2022-09-29,35.6159374006,-82.4400695674,North Carolina
2022-09-29,35.9135883333,-79.0385583333,North Carolina
2022-10-02,40.8946857731,-74.5304153341,New Jersey
2022-09-24,38.95993,-77.0522528333,District of Columbia
2022-10-04,39.3354823441,-82.016511066,Ohio
2022-10-04,35.9959354525,-79.4397601835,North Carolina
2022-10-05,39.6376033333,-75.7553466667,Delaware
2022-10-06,39.0565,-77.2522283333,Maryland
2022-10-06,35.8095363714,-78.7160591596,North Carolina
2022-10-07,40.24813,-76.91967,Pennsylvania
2022-10-07,42.1571701565,-77.1355446656,New York
2022-10-09,42.7825705959,-73.6841011645,New York
2022-10-09,33.8120945603,-80.8162286505,South Carolina
2022-10-09,42.00528055,-74.1262805,New York
2022-10-11,36.0857636249,-79.9073381536,North Carolina
2022-10-12,38.898675,-76.962805,District of Columbia
2022-10-12,42.0995259723,-71.7837928981,Massachusetts
2022-10-12,34.1643445,-95.7534633333,Oklahoma
2022-10-15,37.1896593506,-79.1125271191,Virginia
2022-10-15,40.74129551,-73.74216279,New York
2022-10-16,36.0751800537,-79.8763275146,North Carolina
2022-10-16,39.638695,-75.7565383333,Delaware
2022-10-16,39.638745,-75.756355,Delaware
2022-10-16,39.6386333333,-75.756195,Delaware
2022-10-17,39.0564278711,-77.252166737,Maryland
2022-10-16,37.5518538582,-89.0089266926,Illinois
2022-10-19,40.4770811126,-74.7394270805,New Jersey
2022-09-23,42.0260632657,-87.7267604193,Illinois
2022-10-19,36.5423883333,-77.5806716667,North Carolina
2022-10-21,35.8185952347,-78.7655356825,North Carolina
2022-10-21,38.90258,-76.9641633333,District of Columbia
2022-10-22,37.4419900729,-88.4528780141,Illinois
2022-10-23,41.1839698,-75.2652858,Pennsylvania
2022-10-24,36.2125084516,-81.6764313805,North Carolina
2022-10-24,34.7889506404,-82.3624398024,South Carolina
2022-10-29,38.9934694444,-76.8934638889,Maryland
2022-10-30,36.0313063136,-79.0599094418,North Carolina
2022-10-30,39.0938138333,-77.4736466667,Virginia
2022-10-30,40.6058937472,-74.4978992997,New Jersey
2022-11-01,39.48773,-77.8045716667,West Virginia
2022-11-02,38.3353405348,-81.3528907299,West Virginia
2022-11-05,38.8610768,-78.30081113,Virginia
2022-11-06,35.7631511507,-78.7133111167,North Carolina
2022-11-06,35.7872416667,-78.6301633333,North Carolina
2022-11-07,38.2622969477,-75.4602320865,Maryland
2022-11-03,40.5973295442,-74.6133035714,New Jersey
2022-10-24,34.7888788116,-82.3623524141,South Carolina
2022-11-10,43.318225,-76.7577833333,New York
2022-11-10,43.3182916667,-76.7577833333,New York
2022-10-08,38.7559366667,-77.1017305,Virginia
2022-11-17,34.7807378245,-80.8779141812,South Carolina
2022-11-09,39.01334445,-77.4118333333,Virginia
2022-09-03,38.8696416667,-76.9506383333,District of Columbia
2022-09-11,40.1116566667,-74.86196,Pennsylvania
2023-08-26,38.8100280762,-78.7979278564,Virginia
2023-08-29,39.2801133333,-90.6185133333,Illinois
2023-08-31,40.3503856541,-74.5592273331,New Jersey
2023-08-31,39.114219,-77.1505885,Maryland
2023-08-31,38.9609375,-77.2301940918,Virginia
2023-09-02,37.2326660156,-80.4527282715,Virginia
2023-09-03,41.7669916667,-71.0798333333,Massachusetts
2023-09-03,40.15650643,-83.02107442,Ohio
2023-09-03,39.5738251901,-77.5912246535,Maryland
2023-09-04,39.5177030297,-84.7305664714,Ohio
2023-09-04,39.64935,-77.4437783333,Maryland
2023-09-04,40.8926290787,-75.6822393108,Pennsylvania
2023-09-04,37.196105957,-80.4151611328,Virginia
